ngày	quyết định	lý do	bằng chứng
2026-09-25	Phím theo InputActionAsset gốc: WASD, chuột ngắm, LMB đánh, RMB/Q/E/R skill, C trang bị, Space lướt, Shift chạy, F tương tác, 1–5 đồ, Tab túi, M bản đồ	Lấy thẳng từ dependencies_assets_input	vd-ref/cache/input_strings.txt
2026-09-25	Hậu kỳ tự viết (postfx.js), không kéo EffectComposer	Chỉ cần bloom + chỉnh màu + vignette + hiệu ứng căng thẳng; số lấy từ URP Volume gốc	ASSETS.md §4.1; js/postfx.js
2026-09-25	Contrast làm trong không gian log quanh xám giữa 0,18 như URP	Lần đầu kéo quanh 0,5 ở không gian hiển thị thì cảnh tối bị dìm đen hết	ảnh so trước/sau trong scratchpad, lần 1 gần như đen
2026-09-25	Bỏ vignette nền (chỉ bật theo căng thẳng/bị đánh)	VolumeProfile_Main không có vignette; vignette 0,25 tự thêm làm tối rìa	ASSETS.md §4.1 bảng profile
2026-09-25	Ô skill: RMB/Q/E = ba skill General/None đầu trong ActiveSkillIds, R = Ultimate [SUY LUẬN]	Bảng không có luật gán ô; Talent có SkillSlotCount nên số ô mở dần; màn chọn nhân vật gốc có "Currently Selected Skill"	Talent.csv SkillSlotCount:1 ×2; ảnh Steam ss07
2026-09-25	AI quái chạy sau Skill.step, rồi applyLight	Quy ước của ai.js; đèn pin gắn buff 3000003 (−0,7 MoveSpeed) cho quái trong nón	docs/AI.md
2026-09-25	Bảng hướng dẫn tutorial dựng trên sàn từ prefab sector, không làm popup	Bản gốc dạy chơi bằng WorldSpaceCanvas nằm phẳng trong 10009/10001/10004 (StaticDecoration/TutorialGuides), luôn hiện; bản web cũ thiếu hẳn nên người chơi không biết đi đâu	tools/ui_tutorial_rip.py → art/ui/tutorial/guides.json; docs/DIVE.md §10.1–10.2
2026-09-25	SendTutorialEvent chỉ ghi trace, không gắn UI	Không prefab/bảng nào nối tên sự kiện với giao diện; C# TutorialEvent/SendTutorialStep là analytics [SUY LUẬN]	global-metadata.dat; docs/DIVE.md §10.1
2026-09-25	TextMarker giữ trên bản đồ nhỏ, không vẽ lên sàn	TextMarkerRoot nằm dưới MiniMapPanel/…/MinMap; khoá chữ MiniMapMarker_*	remote_prefab_assets_scene StageScene; docs/DIVE.md §10.1
2026-09-25	Shift bật/tắt chạy, tự tắt khi đứng yên quá Const.ToggleRunExpireDelay 0,15 s hoặc cạn stamina	C# RunToggleOn/SetRunToggleOn, chữ gốc "(Bật/Tắt) Chạy"; phần tự tắt [SUY LUẬN] từ tên hằng	js/stage.js playerInput; docs/DIVE.md §10.3
2026-09-25	Bỏ qua cả cuộc thoại = giữ Esc (hoặc giữ chuột trên khung) 1 s, khung dựng theo CutscenePanel gốc	DialogPopup gốc không có nút bỏ cả đoạn (chỉ NextView/QuickView); cắt cảnh gốc có "Giữ để bỏ qua" + Esc + vòng đo; SkipHoldDuration [CHƯA RÕ] nên dùng 1 s	js/dialog.js; docs/DIVE.md §10.4
2026-09-25	Tua cả đoạn bằng cách cho mọi task thoại trả xong ngay, không nhảy cóc Lua	Lua gốc await từng dòng; để coroutine chạy tiếp thì SetStep/SpawnMonster/SetInGameHudActive/PlayBgm vẫn xảy ra đúng thứ tự; gặp lựa chọn thì dừng tua	js/dialog.js skipAll
2026-09-25	HUD có bảng "Hướng Dẫn [O]" (bỏ Emoji/Ping)	KeyGuidePanel! gốc: dòng ControlGuide [O] luôn hiện, danh sách phím bật/tắt bằng O; Emoji/Ping chỉ cho chơi nhiều người	js/hud.js; css/tutorial.css; docs/DIVE.md §10.5
2026-09-25	Túi đồ trong lượt lặn dựng lại đúng trang MenuPopup → InventoryManagementPage gốc (MyInventory trái, phím + ô nhanh giữa, LootingInventory phải) trên khung 1920×1080 thu theo màn	Bản gốc không có bảng rương riêng: LootingInventory là panel phải của trang túi đồ; bản cũ là bảng DOM tự vẽ không giống	tools/ui_inventory_dump.py (MenuPopup/Contents*/Pages[]/InventoryManagementPage); docs/DIVE.md §11.1
2026-09-25	Lục rương = hé lộ từng ô theo GetRevealTime(bậc) × GetRevealDelayMultiplier, bỏ F lấy hết	Mã gốc LootingInventory.TryReveal + EnumExtensions.GetRevealTime/GetRevealSfx; ô chưa hé lộ không lấy được; F trong túi là "Dùng"	tools/ui_inventory_il2cpp.py: 0,8/1,1/2,2/3,1/4 s; test/voiddiver-loot.js đo 1,08/2,20/3,10/4,00 s
2026-09-25	Phím chuột theo chữ đã dịch: trái = cả chồng, Ctrl = 1, Shift = nửa; phải = vứt	Chữ Hàn mặc định trong prefab (1개 넣기 ở chuột trái) ngược với khoá LocalizedText SlotInsertOne "Add All"/SlotInsertAll "Insert 1" của bản phát hành	json/text_en.json, data/text.js; docs/DIVE.md §11.5
2026-09-25	Ô nhanh trong bảng Tab 5 ô (phím 1–5) + 1 ô khoá như QuickSlotSettingPanel gốc; mô hình vẫn giữ 6 phần tử cho HUD cũ	QuickSlotSettingPanel và InGameQuickSlotPanel của bản demo đều 5 ô; UseItem có 5 binding; ảnh Steam 6 ô là bản cũ	ui_inventory_dump.py QuickSlotSettingPanel, InGameQuickSlotPanel
2026-09-25	Tiếng: _holdingSfx của prefab RewardBox khi giữ F, LootingCompleted khi giữ xong (rương, đồ rơi) [SUY LUẬN], Looting_Loop + Looting_<mức> khi hé lộ	_interactionSfx của mọi rương và DropGoods đều rỗng; hằng LOOTING_COMPLETED có trong lớp hằng tiếng; ItemPickUp không có clip	art/object/*.json behaviours RewardBox/DropGoods; fieldDefaultValues metadata
2026-09-25	Bỏ hitstop khi trình bày (stage bỏ qua sự kiện hitstop)	metadata IL2CPP không có tên HitStop/HitPause nào; hitstop tự chế làm anim/VFX khựng không giống bản gốc	re/metactx.py trên global-metadata.dat; docs/SKILLVM.md §2.5
2026-09-25	Hướng nhìn 8 ô màn hình có vùng giữ nguyên (không lật theo dấu x)	CharacterView._animationMode = 2, hàm LookAtDirectionAsEightWay; cách cũ lật 7 lần / 60 khung khi ngắm quanh phương dọc	unitvis.js setFacing; test/voiddiver-fx-contract.js
2026-09-25	VfxSpeeds.endTime tính theo thời gian hiệu ứng, sau mốc cuối tốc độ 1	giống animationSpeeds; đọc theo giờ thật thì {1.0:30} vô lý	vfx.js parseSpeeds/effDt; tools/fx_README.md
2026-09-25	VFX của hitbox bám hitbox và dừng kiểu 'end' khi hitbox hết	SkillVfx gốc có hitBox/_isTracking/PlayEnd; dữ liệu kéo duration hitbox dài hơn cửa sổ va chạm để giữ VFX (đòn 1 Gayoung dur 1.0, va chạm tới 0.19)	stage.js playFx/hbAnchor; docs/SKILLVM.md §7
2026-09-25	Nạp trước VFX lúc sinh unit và vẽ khống một khung thay cho renderer.compile()	compile() biên dịch với outputEncoding khác RT hậu kỳ nên vô tác dụng; lần tung đầu khựng 137–185 ms → 9–10 ms	vfx.js preload/runWarm; test/voiddiver-fx-contract.js
2026-09-25	Dựng lại ChainSkillVfx (xích Gayoung) từ tên trường + prefab, không có mã C#	MeshRenderer ChainLine01_01/02, _chainLength 5.93, _chainOffset -0.42 đo được; luật kéo dài là suy luận	tools/fx_README.md mục MeshRenderer và ChainSkillVfx
2026-09-25	Trộn clip Spine theo mixes/defaultMix của SkeletonDataAsset	bản cũ không trộn nên đổi idle/walk/run giật; Sword/Raven có 12 cặp 0.2 s	tools/rip.py spine-meta → art/spine/*/meta.json
2026-09-25	Hitbox TraceOwner có moveSpeed bay về chủ	chỉ 2 dòng (lượt về bumerang Mio); coi như FollowSelf thì bumerang không bao giờ về	hitbox.js moveHB; test/voiddiver-fx-contract.js
2026-09-25	Orbital/Radial của hệ mô phỏng World quay quanh node của hệ, không quanh gốc bản đồ	đúng luật Unity; bản cũ làm tia lửa Purification bay xa 20–25 m thành đĩa trắng trôi	vfx.js simSystem; test/voiddiver-fx-contract.js (đỏ khi gỡ sửa: xa 34 m)
2026-09-25	Màu vật liệu có cờ [HDR] (m_Flags 16) dùng thẳng, không đổi sRGB→linear	đổi sRGB làm viền HDR 32 thành 3617 và bloom ra đĩa trắng 1 m; ảnh gốc ss03 chỉ có đốm nhỏ; thanh Intensity HDR tỉ lệ thẳng với ánh sáng	vfx.js makeMat hdr(); tools/fx_README.md
2026-09-25	Tiếng trúng đòn UseElementalHitSfx/UseElementalCritSfx phát clip <tên>_<nguyên tố của đòn>	tên trần không có clip nên đánh thường im lặng (404)	hitbox.js hit feedback, stage.js sfx; test/voiddiver-fx-contract.js
2026-09-25	HitSfx của quái chỉ phát ở hitbox.js (theo HitSfxPercent), bỏ bản phát thêm trong stage.js khi damage	mỗi nhát kêu hai lần; stage coi HitSfxPercent 0 là 100	stage.js onEvent damage
2026-09-25	Chữ trạng thái nổi theo prefab StatusEffectText/BuffActiveText (ImpactUp 0.667 s, Pretendard-Bold 28 nghiêng)	ảnh gốc ss03/ss05 có Purify/Invincible!/Knockback Immune; HUD chưa có	hud.js statusText; stage.js buff/immune/damage
